condition,trial,n_teammates,success,tasks_done,total_tasks,task_completion_rate,wall_clock_seconds,total_rounds,total_input_tokens,total_output_tokens,total_tokens,tokens_per_task,dispatched_agent_rounds,possible_agent_rounds,idle_agent_rounds,idle_fraction,run_dir
decentralized,4,4,True,17,17,1.0,58.862098932266235,2,16744,14142,30886,1816.8235294117646,10,10,0,0.0,experiments/experiment1/n4/runs/openai_gpt-5.2_04_decentralized_20260423_165813
decentralized,2,4,True,17,17,1.0,283.64713406562805,5,360228,101931,462159,27185.823529411766,25,25,0,0.0,experiments/experiment1/n4/runs/anthropic_claude-sonnet-4-6_02_decentralized_20260423_165759
static,4,4,True,7,7,1.0,259.38994789123535,13,172877,22134,195011,27858.714285714286,30,52,22,0.4230769230769231,experiments/experiment1/n4/runs/openai_gpt-5.2_04_static_20260423_165912
static,2,4,True,6,6,1.0,976.3158421516418,24,772560,109306,881866,146977.66666666666,33,96,63,0.65625,experiments/experiment1/n4/runs/anthropic_claude-sonnet-4-6_02_static_20260423_170243
dynamic,3,4,True,3,3,1.0,171.97175002098083,4,39669,13679,53348,17782.666666666668,4,16,12,0.75,experiments/experiment1/n4/runs/anthropic_claude-sonnet-4-6_03_dynamic_20260423_171919
no_graph,3,4,True,17,17,1.0,455.1727948188782,4,290488,79645,370133,21772.529411764706,16,20,4,0.2,experiments/experiment1/n4/runs/anthropic_claude-sonnet-4-6_03_no_graph_20260423_172234
decentralized,3,4,True,17,17,1.0,298.3199899196625,6,510237,107090,617327,36313.35294117647,30,30,0,0.0,experiments/experiment1/n4/runs/anthropic_claude-sonnet-4-6_03_decentralized_20260423_173009
static,3,4,True,7,7,1.0,809.5908908843994,17,317751,66159,383910,54844.28571428572,19,68,49,0.7205882352941176,experiments/experiment1/n4/runs/anthropic_claude-sonnet-4-6_03_static_20260423_173508
dynamic,5,4,True,7,7,1.0,204.21403312683105,12,110198,19519,129717,18531.0,25,48,23,0.4791666666666667,experiments/experiment1/n4/runs/openai_gpt-5.2_05_dynamic_20260424_130223
no_graph,5,4,True,17,17,1.0,73.63070583343506,2,19675,15151,34826,2048.5882352941176,8,10,2,0.2,experiments/experiment1/n4/runs/openai_gpt-5.2_05_no_graph_20260424_130556
decentralized,5,4,True,17,17,1.0,56.55805802345276,2,13655,8540,22195,1305.5882352941176,10,10,0,0.0,experiments/experiment1/n4/runs/openai_gpt-5.2_05_decentralized_20260424_130711
static,5,4,True,9,9,1.0,283.8440749645233,15,150208,29305,179513,19945.88888888889,33,60,27,0.45,experiments/experiment1/n4/runs/openai_gpt-5.2_05_static_20260424_130808
dynamic,6,4,True,4,4,1.0,141.89981293678284,11,85369,11335,96704,24176.0,17,44,27,0.6136363636363636,experiments/experiment1/n4/runs/openai_gpt-5.2_06_dynamic_20260424_131310
no_graph,6,4,True,17,17,1.0,72.96770310401917,2,15609,11826,27435,1613.8235294117646,8,10,2,0.2,experiments/experiment1/n4/runs/openai_gpt-5.2_06_no_graph_20260424_131539
decentralized,6,4,True,17,17,1.0,30.48518419265747,2,14115,5540,19655,1156.1764705882354,10,10,0,0.0,experiments/experiment1/n4/runs/openai_gpt-5.2_06_decentralized_20260424_131653
static,6,4,True,8,8,1.0,208.32355403900146,12,146965,24788,171753,21469.125,28,48,20,0.4166666666666667,experiments/experiment1/n4/runs/openai_gpt-5.2_06_static_20260424_131723
static,7,4,False,10,10,1.0,501.08414912223816,17,302435,52620,355055,35505.5,41,68,27,0.39705882352941174,experiments/experiment1/n4/runs/openai_gpt-5.2_07_static_20260424_132147
static,7,4,True,5,5,1.0,627.618546962738,15,321423,55640,377063,75412.6,19,60,41,0.6833333333333333,experiments/experiment1/n4/runs/anthropic_claude-sonnet-4-6_07_static_20260424_132335
dynamic,7,4,True,4,4,1.0,186.97554993629456,4,66406,20882,87288,21822.0,6,16,10,0.625,experiments/experiment1/n4/runs/anthropic_claude-sonnet-4-6_07_dynamic_20260424_133425
no_graph,7,4,True,17,17,1.0,559.889242887497,5,399254,101137,500391,29434.764705882353,20,25,5,0.2,experiments/experiment1/n4/runs/anthropic_claude-sonnet-4-6_07_no_graph_20260424_133801
decentralized,7,4,True,17,17,1.0,324.6398389339447,6,525994,110217,636211,37424.17647058824,30,30,0,0.0,experiments/experiment1/n4/runs/anthropic_claude-sonnet-4-6_07_decentralized_20260424_134721
static,8,4,True,7,7,1.0,544.7337410449982,25,290757,42463,333220,47602.857142857145,23,100,77,0.77,experiments/experiment1/n4/runs/anthropic_claude-sonnet-4-6_08_static_20260424_141656
dynamic,8,4,True,3,3,1.0,317.6555128097534,7,110849,25918,136767,45589.0,7,28,21,0.75,experiments/experiment1/n4/runs/anthropic_claude-sonnet-4-6_08_dynamic_20260424_142630
no_graph,8,4,True,17,17,1.0,457.14281392097473,6,467459,106239,573698,33746.94117647059,24,30,6,0.2,experiments/experiment1/n4/runs/anthropic_claude-sonnet-4-6_08_no_graph_20260424_143213
decentralized,8,4,True,17,17,1.0,352.0228958129883,6,494880,122879,617759,36338.76470588235,30,30,0,0.0,experiments/experiment1/n4/runs/anthropic_claude-sonnet-4-6_08_decentralized_20260424_143951
metagpt,9,4,True,17,17,1.0,300.053,20,150068,24489,174557,10268.058823529413,0,0,0,0.0,experiments/experiment1/n4/runs/openai_gpt-5.2_09_metagpt_20260425_174941
metagpt,10,4,True,17,17,1.0,369.002,20,150620,29166,179786,10575.64705882353,0,0,0,0.0,experiments/experiment1/n4/runs/openai_gpt-5.2_10_metagpt_20260425_180014
metagpt,11,4,False,7,17,0.4117647058823529,285.058,20,128812,22389,151201,21600.14285714286,0,0,0,0.0,experiments/experiment1/n4/runs/openai_gpt-5.2_11_metagpt_20260425_180632
metagpt,12,4,False,10,17,0.5882352941176471,335.033,20,98153,30940,129093,12909.3,0,0,0,0.0,experiments/experiment1/n4/runs/openai_gpt-5.2_12_metagpt_20260425_181122
metagpt,13,4,True,17,17,1.0,341.0,20,98953,27629,126582,7446.0,0,0,0,0.0,experiments/experiment1/n4/runs/openai_gpt-5.2_13_metagpt_20260425_182318
metagpt,14,4,True,17,17,1.0,744.606,20,387962,55065,443027,26060.41176470588,0,0,0,0.0,experiments/experiment1/n4/runs/anthropic_claude-sonnet-4-6_14_metagpt_20260425_183345
metagpt,15,4,False,0,17,0.0,836.863,20,474090,64065,538155,nan,0,0,0,0.0,experiments/experiment1/n4/runs/anthropic_claude-sonnet-4-6_15_metagpt_20260425_184617
metagpt,16,4,True,17,17,1.0,818.22,20,643120,58979,702099,41299.94117647059,0,0,0,0.0,experiments/experiment1/n4/runs/anthropic_claude-sonnet-4-6_16_metagpt_20260425_190022
metagpt,17,4,True,17,17,1.0,789.381,20,590380,56431,646811,38047.705882352944,0,0,0,0.0,experiments/experiment1/n4/runs/anthropic_claude-sonnet-4-6_17_metagpt_20260425_191404
metagpt,18,4,True,17,17,1.0,796.945,20,675771,57587,733358,43138.705882352944,0,0,0,0.0,experiments/experiment1/n4/runs/anthropic_claude-sonnet-4-6_18_metagpt_20260425_192719
dynamic,27,4,True,4,4,1.0,110.22401189804077,8,77527,7913,85440,21360.0,14,32,18,0.5625,experiments/experiment1/n4/runs/openai_gpt-5.2_27_dynamic_20260501_145017
no_graph,27,4,True,17,17,1.0,78.72574996948242,2,22702,12758,35460,2085.8823529411766,8,10,2,0.2,experiments/experiment1/n4/runs/openai_gpt-5.2_27_no_graph_20260501_145215
decentralized,27,4,True,17,17,1.0,57.538733959198,2,13415,9858,23273,1369.0,10,10,0,0.0,experiments/experiment1/n4/runs/openai_gpt-5.2_27_decentralized_20260501_145334
static,27,4,True,8,8,1.0,233.341481924057,13,144493,22877,167370,20921.25,28,52,24,0.46153846153846156,experiments/experiment1/n4/runs/openai_gpt-5.2_27_static_20260501_145432
metagpt,27,4,False,1,17,0.058823529411764705,561.398,30,129667,43230,172897,172897.0,0,0,0,0.0,experiments/experiment1/n4/runs/openai_gpt-5.2_27_metagpt_20260501_145840
dynamic,28,4,True,8,8,1.0,211.96397495269775,17,186608,16299,202907,25363.375,39,68,29,0.4264705882352941,experiments/experiment1/n4/runs/openai_gpt-5.2_28_dynamic_20260501_150807
no_graph,28,4,True,17,17,1.0,52.61270999908447,2,19238,7709,26947,1585.1176470588234,8,10,2,0.2,experiments/experiment1/n4/runs/openai_gpt-5.2_28_no_graph_20260501_151148
decentralized,28,4,True,17,17,1.0,46.23578095436096,2,15146,9023,24169,1421.7058823529412,10,10,0,0.0,experiments/experiment1/n4/runs/openai_gpt-5.2_28_decentralized_20260501_151240
static,28,4,True,9,9,1.0,252.5517680644989,24,128861,27234,156095,17343.88888888889,29,96,67,0.6979166666666666,experiments/experiment1/n4/runs/openai_gpt-5.2_28_static_20260501_151327
metagpt,28,4,True,17,17,1.0,453.744,30,202453,33760,236213,13894.882352941177,0,0,0,0.0,experiments/experiment1/n4/runs/openai_gpt-5.2_28_metagpt_20260501_151758
dynamic,29,4,True,3,3,1.0,185.79828310012817,8,115834,13557,129391,43130.333333333336,8,32,24,0.75,experiments/experiment1/n4/runs/anthropic_claude-sonnet-4-6_29_dynamic_20260504_184724
no_graph,29,4,True,17,17,1.0,464.58789229393005,4,253572,80955,334527,19678.058823529413,16,20,4,0.2,experiments/experiment1/n4/runs/anthropic_claude-sonnet-4-6_29_no_graph_20260504_185049
decentralized,29,4,True,17,17,1.0,218.879656791687,4,228223,72994,301217,17718.647058823528,20,20,0,0.0,experiments/experiment1/n4/runs/anthropic_claude-sonnet-4-6_29_decentralized_20260504_185834
static,29,4,True,6,6,1.0,844.2654809951782,23,620589,88546,709135,118189.16666666667,27,92,65,0.7065217391304348,experiments/experiment1/n4/runs/anthropic_claude-sonnet-4-6_29_static_20260504_190213
metagpt,29,4,False,0,1,0.0,952.767,30,747113,70951,818064,nan,0,0,0,0.0,experiments/experiment1/n4/runs/anthropic_claude-sonnet-4-6_29_metagpt_20260504_191638
dynamic,30,4,True,4,4,1.0,287.3621850013733,6,144764,32047,176811,44202.75,9,24,15,0.625,experiments/experiment1/n4/runs/anthropic_claude-sonnet-4-6_30_dynamic_20260504_193236
no_graph,30,4,True,17,17,1.0,248.87035703659058,4,155119,54398,209517,12324.529411764706,16,20,4,0.2,experiments/experiment1/n4/runs/anthropic_claude-sonnet-4-6_30_no_graph_20260504_193748
dynamic,30,4,True,11,11,1.0,259.33400082588196,15,199885,27839,227724,20702.18181818182,31,60,29,0.48333333333333334,experiments/experiment1/n4/runs/openai_gpt-5.2_30_dynamic_20260504_193731
no_graph,30,4,True,17,17,1.0,142.55748295783997,3,44478,23992,68470,4027.6470588235293,12,15,3,0.2,experiments/experiment1/n4/runs/openai_gpt-5.2_30_no_graph_20260504_194157
decentralized,30,4,True,17,17,1.0,45.29099082946777,3,26189,6747,32936,1937.4117647058824,15,15,0,0.0,experiments/experiment1/n4/runs/openai_gpt-5.2_30_decentralized_20260504_194419
static,30,4,True,10,10,1.0,145.24242401123047,7,99799,21287,121086,12108.6,16,28,12,0.42857142857142855,experiments/experiment1/n4/runs/openai_gpt-5.2_30_static_20260504_194505
decentralized,30,4,True,17,17,1.0,380.74717903137207,6,557448,120650,678098,39888.117647058825,30,30,0,0.0,experiments/experiment1/n4/runs/anthropic_claude-sonnet-4-6_30_decentralized_20260504_194157
metagpt,30,4,False,0,1,0.0,281.094,30,74428,19290,93718,nan,0,0,0,0.0,experiments/experiment1/n4/runs/openai_gpt-5.2_30_metagpt_20260504_194751
static,30,4,False,6,6,1.0,281.45795822143555,8,100760,27101,127861,21310.166666666668,9,32,23,0.71875,experiments/experiment1/n4/runs/anthropic_claude-sonnet-4-6_30_static_20260504_194817
dynamic,31,4,True,5,5,1.0,124.85440802574158,8,75962,11883,87845,17569.0,16,32,16,0.5,experiments/experiment1/n4/runs/openai_gpt-5.2_31_dynamic_20260504_195236
no_graph,31,4,True,17,17,1.0,122.11978077888489,3,38614,23722,62336,3666.823529411765,12,15,3,0.2,experiments/experiment1/n4/runs/openai_gpt-5.2_31_no_graph_20260504_195448
decentralized,31,4,True,17,17,1.0,41.32251310348511,2,15318,8167,23485,1381.4705882352941,10,10,0,0.0,experiments/experiment1/n4/runs/openai_gpt-5.2_31_decentralized_20260504_195650
static,31,4,True,9,9,1.0,358.13989305496216,15,298628,41835,340463,37829.22222222222,40,60,20,0.3333333333333333,experiments/experiment1/n4/runs/openai_gpt-5.2_31_static_20260504_195732
metagpt,30,4,False,0,1,0.0,868.284,30,631473,61690,693163,nan,0,0,0,0.0,experiments/experiment1/n4/runs/anthropic_claude-sonnet-4-6_30_metagpt_20260504_195320
metagpt,31,4,False,0,1,0.0,261.039,30,115338,18290,133628,nan,0,0,0,0.0,experiments/experiment1/n4/runs/openai_gpt-5.2_31_metagpt_20260504_200351
dynamic,32,4,True,5,5,1.0,189.18842673301697,7,116621,23251,139872,27974.4,17,28,11,0.39285714285714285,experiments/experiment1/n4/runs/openai_gpt-5.2_32_dynamic_20260504_200816
no_graph,32,4,True,17,17,1.0,70.91471576690674,2,19101,14730,33831,1990.0588235294117,8,10,2,0.2,experiments/experiment1/n4/runs/openai_gpt-5.2_32_no_graph_20260504_201133
decentralized,32,4,True,17,17,1.0,53.751699924468994,2,15197,7833,23030,1354.7058823529412,10,10,0,0.0,experiments/experiment1/n4/runs/openai_gpt-5.2_32_decentralized_20260504_201244
dynamic,32,4,True,3,3,1.0,144.38522601127625,3,33648,10905,44553,14851.0,3,12,9,0.75,experiments/experiment1/n4/runs/anthropic_claude-sonnet-4-6_32_dynamic_20260504_201103
static,32,4,True,9,9,1.0,269.65750217437744,13,193062,29671,222733,24748.11111111111,34,52,18,0.34615384615384615,experiments/experiment1/n4/runs/openai_gpt-5.2_32_static_20260504_201338
metagpt,32,4,False,0,1,0.0,347.483,30,182628,24716,207344,nan,0,0,0,0.0,experiments/experiment1/n4/runs/openai_gpt-5.2_32_metagpt_20260504_201828
no_graph,32,4,True,17,17,1.0,802.8884201049805,8,786020,155949,941969,55409.94117647059,32,40,8,0.2,experiments/experiment1/n4/runs/anthropic_claude-sonnet-4-6_32_no_graph_20260504_201349
decentralized,32,4,True,17,17,1.0,363.9144608974457,6,511819,120954,632773,37221.94117647059,30,30,0,0.0,experiments/experiment1/n4/runs/anthropic_claude-sonnet-4-6_32_decentralized_20260504_202712
static,32,4,True,7,7,1.0,385.21760082244873,9,146723,42861,189584,27083.428571428572,12,36,24,0.6666666666666666,experiments/experiment1/n4/runs/anthropic_claude-sonnet-4-6_32_static_20260504_203316
metagpt,32,4,False,0,1,0.0,669.623,30,437847,47961,485808,nan,0,0,0,0.0,experiments/experiment1/n4/runs/anthropic_claude-sonnet-4-6_32_metagpt_20260504_204006
dynamic,33,4,True,3,3,1.0,87.4181079864502,2,34901,10565,45466,15155.333333333334,3,8,5,0.625,experiments/experiment1/n4/runs/anthropic_claude-sonnet-4-6_33_dynamic_20260504_205120
no_graph,33,4,True,17,17,1.0,758.8826460838318,7,593618,135454,729072,42886.58823529412,28,35,7,0.2,experiments/experiment1/n4/runs/anthropic_claude-sonnet-4-6_33_no_graph_20260504_205311
decentralized,33,4,True,17,17,1.0,232.52547883987427,4,244576,81889,326465,19203.823529411766,20,20,0,0.0,experiments/experiment1/n4/runs/anthropic_claude-sonnet-4-6_33_decentralized_20260504_210550
static,33,4,False,6,7,0.8571428571428571,1473.6860048770905,40,1621920,197406,1819326,303221.0,56,160,104,0.65,experiments/experiment1/n4/runs/anthropic_claude-sonnet-4-6_33_static_20260504_210943
metagpt,33,4,False,0,1,0.0,1073.252,30,667289,79555,746844,nan,0,0,0,0.0,experiments/experiment1/n4/runs/anthropic_claude-sonnet-4-6_33_metagpt_20260504_213440
dynamic,34,4,True,3,3,1.0,287.12421107292175,8,121631,21867,143498,47832.666666666664,7,32,25,0.78125,experiments/experiment1/n4/runs/anthropic_claude-sonnet-4-6_34_dynamic_20260504_215239
no_graph,34,4,True,17,17,1.0,526.518795967102,5,357217,96269,453486,26675.647058823528,20,25,5,0.2,experiments/experiment1/n4/runs/anthropic_claude-sonnet-4-6_34_no_graph_20260504_215750
decentralized,34,4,True,17,17,1.0,293.740375995636,5,351059,102400,453459,26674.058823529413,25,25,0,0.0,experiments/experiment1/n4/runs/anthropic_claude-sonnet-4-6_34_decentralized_20260504_220637
static,34,4,True,6,6,1.0,352.6357100009918,7,124620,37104,161724,26954.0,11,28,17,0.6071428571428571,experiments/experiment1/n4/runs/anthropic_claude-sonnet-4-6_34_static_20260504_221130
