condition,trial,n_teammates,success,tasks_done,total_tasks,task_completion_rate,wall_clock_seconds,total_rounds,total_input_tokens,total_output_tokens,total_tokens,tokens_per_task,dispatched_agent_rounds,possible_agent_rounds,idle_agent_rounds,idle_fraction,run_dir
dynamic,1,4,True,4,4,1.0,162.94370007514954,4,50421,11692,62113,15528.25,4,16,12,0.75,experiments/experiment1/n4/runs/anthropic_claude-sonnet-4-6_01_dynamic_20260423_162027
no_graph,1,4,True,17,17,1.0,327.76682591438293,3,173893,57941,231834,13637.29411764706,12,15,3,0.2,experiments/experiment1/n4/runs/anthropic_claude-sonnet-4-6_01_no_graph_20260423_162331
decentralized,1,4,True,17,17,1.0,293.3828489780426,5,355778,102399,458177,26951.58823529412,25,25,0,0.0,experiments/experiment1/n4/runs/anthropic_claude-sonnet-4-6_01_decentralized_20260423_162859
dynamic,2,4,True,8,8,1.0,254.14370608329773,11,137066,21049,158115,19764.375,29,44,15,0.3409090909090909,experiments/experiment1/n4/runs/openai_gpt-5.2_02_dynamic_20260423_163458
no_graph,2,4,True,17,17,1.0,100.46228218078613,2,19504,12768,32272,1898.3529411764705,8,10,2,0.2,experiments/experiment1/n4/runs/openai_gpt-5.2_02_no_graph_20260423_163923
decentralized,2,4,True,17,17,1.0,48.18006992340088,2,15247,6895,22142,1302.4705882352941,10,10,0,0.0,experiments/experiment1/n4/runs/openai_gpt-5.2_02_decentralized_20260423_164104
static,2,4,True,8,8,1.0,171.36759495735168,10,165049,24613,189662,23707.75,25,40,15,0.375,experiments/experiment1/n4/runs/openai_gpt-5.2_02_static_20260423_164152
dynamic,3,4,True,8,8,1.0,215.7388002872467,14,193435,19158,212593,26574.125,34,56,22,0.39285714285714285,experiments/experiment1/n4/runs/openai_gpt-5.2_03_dynamic_20260423_164501
no_graph,3,4,True,17,17,1.0,84.89799904823303,2,20311,15476,35787,2105.1176470588234,8,10,2,0.2,experiments/experiment1/n4/runs/openai_gpt-5.2_03_no_graph_20260423_164845
decentralized,3,4,True,17,17,1.0,51.19594097137451,2,13644,7639,21283,1251.9411764705883,10,10,0,0.0,experiments/experiment1/n4/runs/openai_gpt-5.2_03_decentralized_20260423_165010
static,1,4,False,3,6,0.5,1024.8657901287079,40,888214,92944,981158,327052.6666666667,31,160,129,0.80625,experiments/experiment1/n4/runs/anthropic_claude-sonnet-4-6_01_static_20260423_163352
dynamic,2,4,True,3,3,1.0,71.14210391044617,2,31234,7829,39063,13021.0,3,8,5,0.625,experiments/experiment1/n4/runs/anthropic_claude-sonnet-4-6_02_dynamic_20260423_165118
dynamic,4,4,True,6,6,1.0,188.89063596725464,12,161676,18932,180608,30101.333333333332,26,48,22,0.4583333333333333,experiments/experiment1/n4/runs/openai_gpt-5.2_04_dynamic_20260423_165237
no_graph,2,4,True,17,17,1.0,303.48621582984924,5,295463,71702,367165,21597.941176470587,20,25,5,0.2,experiments/experiment1/n4/runs/anthropic_claude-sonnet-4-6_02_no_graph_20260423_165255
no_graph,4,4,True,17,17,1.0,139.91370916366577,3,52636,25833,78469,4615.823529411765,12,15,3,0.2,experiments/experiment1/n4/runs/openai_gpt-5.2_04_no_graph_20260423_165553
