condition,trial,n_teammates,success,tasks_done,total_tasks,task_completion_rate,wall_clock_seconds,total_rounds,total_input_tokens,total_output_tokens,total_tokens,tokens_per_task,dispatched_agent_rounds,possible_agent_rounds,idle_agent_rounds,idle_fraction,run_dir
no_graph,5,4,True,6,6,1.0,133.58073115348816,11,226300,27616,253916,42319.333333333336,44,55,11,0.2,experiments/textproc/n4/runs/openai_gpt-5.2_05_no_graph_20260428_142818
decentralized,5,4,True,6,6,1.0,47.09794306755066,5,46227,11202,57429,9571.5,25,25,0,0.0,experiments/textproc/n4/runs/openai_gpt-5.2_05_decentralized_20260428_143031
static,6,4,True,10,10,1.0,150.63662791252136,11,117940,14109,132049,13204.9,24,44,20,0.45454545454545453,experiments/textproc/n4/runs/openai_gpt-5.2_06_static_20260428_144949
static,5,4,True,10,10,1.0,378.2120952606201,8,160099,39018,199117,19911.7,12,32,20,0.625,experiments/textproc/n4/runs/anthropic_claude-sonnet-4-6_05_static_20260428_144641
dynamic,5,4,True,11,11,1.0,93.417396068573,5,68141,22558,90699,8245.363636363636,11,20,9,0.45,experiments/textproc/n4/runs/anthropic_claude-sonnet-4-6_05_dynamic_20260428_145318
no_graph,5,4,True,6,6,1.0,263.5619502067566,3,121799,46223,168022,28003.666666666668,12,15,3,0.2,experiments/textproc/n4/runs/anthropic_claude-sonnet-4-6_05_no_graph_20260428_145558
decentralized,5,4,True,6,6,1.0,205.08426904678345,4,180965,81920,262885,43814.166666666664,20,20,0,0.0,experiments/textproc/n4/runs/anthropic_claude-sonnet-4-6_05_decentralized_20260428_150022
metagpt,7,4,False,0,1,0.0,750.656,30,404616,56620,461236,nan,0,0,0,0.0,experiments/textproc/n4/runs/openai_gpt-5.2_07_metagpt_20260428_150214
metagpt,8,4,False,0,1,0.0,773.784,30,305776,59822,365598,nan,0,0,0,0.0,experiments/textproc/n4/runs/openai_gpt-5.2_08_metagpt_20260428_151450
metagpt,9,4,False,0,1,0.0,801.574,30,311835,67172,379007,nan,0,0,0,0.0,experiments/textproc/n4/runs/openai_gpt-5.2_09_metagpt_20260428_152749
static,6,4,False,10,10,1.0,247.7932231426239,9,91166,28628,119794,11979.4,10,36,26,0.7222222222222222,experiments/textproc/n4/runs/anthropic_claude-sonnet-4-6_06_static_20260428_153710
dynamic,6,4,True,9,9,1.0,162.28259301185608,5,82404,32343,114747,12749.666666666666,11,20,9,0.45,experiments/textproc/n4/runs/anthropic_claude-sonnet-4-6_06_dynamic_20260428_154133
no_graph,6,4,True,6,6,1.0,295.03831481933594,3,169009,51013,220022,36670.333333333336,12,15,3,0.2,experiments/textproc/n4/runs/anthropic_claude-sonnet-4-6_06_no_graph_20260428_154442
